index,area,bathrooms,price,sq_price,likes,doesnt_like
0,2104,3,399900,190.0665399,1,0
1,1600,3,329900,206.1875,0,1
2,2400,3,369000,153.75,0,1
3,1416,2,232000,163.8418079,0,1
4,3000,4,539900,179.9666667,1,0
5,1985,4,299900,151.0831234,1,0
6,1534,3,314900,205.2803129,1,0
7,1427,3,198999,139.452698,1,0
8,1380,3,212000,153.6231884,0,1
9,1494,3,242500,162.3159304,0,1
10,1940,4,239999,123.7108247,0,1
11,2000,3,347000,173.5,1,0
12,1890,3,329999,174.6026455,1,0
13,4478,5,699900,156.2974542,1,0
14,1268,3,259900,204.9684543,0,1
15,2300,4,449900,195.6086957,0,1
16,1320,2,299900,227.1969697,0,1
17,1236,3,199900,161.7313916,1,0
18,2609,4,499998,191.6435416,1,0
19,3031,4,599000,197.6245464,1,0
20,1767,3,252900,143.1239389,1,0
21,1888,2,255000,135.0635593,0,1
22,1604,3,242900,151.4339152,0,1
23,1962,4,259900,132.4668705,0,1
24,3890,3,573900,147.5321337,1,0
25,1100,3,249900,227.1818182,1,0
26,1458,3,464500,318.5871056,1,0
27,2526,3,469000,185.669042,0,1
28,2200,3,475000,215.9090909,0,1
29,2637,3,299900,113.7277209,0,1
30,1839,2,349900,190.2664492,1,0
31,1000,1,169900,169.9,1,0
32,2040,4,314900,154.3627451,1,0
33,3137,3,579900,184.8581447,1,0
34,1811,4,285900,157.8685809,0,1
35,1437,3,249900,173.9039666,0,1
36,1239,3,229900,185.5528652,0,1
37,2132,4,345000,161.8198874,1,0
38,4215,4,549000,130.2491103,1,0
39,2162,4,287000,132.7474561,1,0
40,1664,2,368500,221.4543269,0,1
41,2238,3,329900,147.4084004,0,1
42,2567,4,314000,122.3217764,0,1
43,1200,3,299000,249.1666667,1,0
44,852,2,179900,211.1502347,1,0
45,1852,4,299900,161.9330454,1,0
46,1203,3,239500,199.0856193,1,0